epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,29587.1,0.95487,0.99865,0.00631,0.73755,0.75897,0.83845,0.66056,0.82105,0.7001,0.00476,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,29871,0.9501,0.99783,0.0063,0.73671,0.76036,0.83855,0.66103,0.82093,0.69934,0.00476,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,30159.8,0.94885,0.99945,0.00629,0.73819,0.75858,0.83818,0.66104,0.82019,0.6995,0.00476,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,30451,0.94355,0.99607,0.00624,0.73623,0.75881,0.83832,0.66104,0.81958,0.69959,0.00475,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,30739.2,0.943,0.99147,0.00626,0.73752,0.75928,0.83885,0.66147,0.81896,0.69825,0.00475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,31023.5,0.94475,0.99227,0.00627,0.73698,0.75935,0.8388,0.6617,0.81834,0.69781,0.00474,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,31310.1,0.93985,0.9903,0.0062,0.73817,0.75843,0.83929,0.6624,0.81736,0.69739,0.00474,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,31597,0.9383,0.98295,0.00618,0.74027,0.75603,0.83931,0.66245,0.81695,0.69681,0.00473,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,31879.1,0.93362,0.98564,0.00618,0.74,0.75577,0.83946,0.66264,0.81615,0.69632,0.00473,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,32161.4,0.93568,0.99225,0.00622,0.74235,0.75564,0.84008,0.66324,0.81573,0.6948,0.00472,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,32439.6,0.93108,0.98531,0.00615,0.74242,0.75756,0.84047,0.6636,0.81537,0.69388,0.00472,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,32718.5,0.92677,0.98088,0.0061,0.74281,0.75564,0.8404,0.66372,0.81515,0.69328,0.00472,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,33001.2,0.92569,0.97552,0.00611,0.74755,0.75197,0.84065,0.66394,0.81474,0.69338,0.00471,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,33282.1,0.93024,0.98085,0.00614,0.74754,0.7524,0.84074,0.66407,0.81473,0.69263,0.00471,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,33559.8,0.92555,0.97867,0.00606,0.74453,0.75348,0.84034,0.6642,0.81421,0.69288,0.00471,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,33839.5,0.92277,0.96772,0.0061,0.74875,0.75015,0.84099,0.66459,0.81396,0.69188,0.00471,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,34119.3,0.92077,0.97626,0.00608,0.74819,0.75093,0.84116,0.66489,0.81373,0.69135,0.00471,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,34401.1,0.92069,0.97219,0.00603,0.74675,0.75263,0.84115,0.66493,0.81324,0.69124,0.0047,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,34682.7,0.91758,0.96868,0.00603,0.75002,0.75031,0.84134,0.66522,0.81261,0.69115,0.0047,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,34965.4,0.9145,0.96799,0.00602,0.75147,0.74822,0.84089,0.66468,0.81204,0.69205,0.00469,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,35241.9,0.91313,0.96856,0.00604,0.75144,0.74753,0.84136,0.66513,0.81156,0.6914,0.00469,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
